City_ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,-33.5189,-53.3681,82.47,51,2,12.17,BR,1675974532
279,69.4865,88.3972,-9.8,97,98,7.78,RU,1675974099
280,-11.0964,-77.6139,77.27,74,15,11.3,PE,1675974533
281,3.0372,29.5355,70.38,34,4,1.19,CD,1675974533
282,-25.2406,130.9889,79.23,21,5,5.82,AU,1675974169
283,50.6789,156.125,21.9,69,90,17.31,RU,1675973991
284,18.9048,-3.5265,78.93,12,1,13.0,ML,1675974534
285,-8.7676,160.7034,77.2,88,99,5.46,SB,1675974534
286,-3.5534,143.6268,76.5,91,100,9.04,PG,1675974535
287,40.5589,8.3181,41.09,75,0,6.91,IT,1675974535
288,6.3017,-70.2041,93.16,34,100,7.47,CO,1675974536
289,22.9875,-82.7536,86.25,53,0,7.05,CU,1675974536
290,33.4006,49.6949,11.68,90,32,4.72,IR,1675974537
291,78.2186,15.6401,17.44,86,40,3.44,SJ,1675974169
292,-1.2675,116.8289,77.99,89,20,4.61,ID,1675974537
293,43.8691,-79.8669,37.89,100,100,5.73,CA,1675974537
294,21.4447,-157.8378,77.61,73,100,19.57,US,1675974538
295,55.1282,39.7956,24.87,92,100,5.64,RU,1675974538
296,54.4815,53.471,5.25,100,97,4.99,RU,1675974539
297,34.7667,32.4167,47.98,57,75,4.61,CY,1675974355
298,67.5447,133.385,-50.49,98,98,0.72,RU,1675974493
299,43.3725,128.2425,13.24,91,100,3.67,CN,1675974539
300,17.1561,-89.0714,89.74,55,20,4.61,BZ,1675974540
301,43.55,131.9167,9.01,79,100,3.53,RU,1675974540
302,50.4111,80.2275,4.82,96,100,9.98,KZ,1675974541
303,39.2446,55.5154,33.37,74,100,11.23,TM,1675974541
304,9.9342,13.9486,82.98,12,88,6.26,CM,1675974542
305,4.25,-54.3833,78.15,95,53,3.71,GF,1675974542
306,9.9022,4.4192,86.52,16,8,4.23,NG,1675974542
307,65.75,150.85,-45.72,100,62,2.15,RU,1675974543
308,-19.1164,33.4833,67.71,98,100,3.33,MZ,1675974543
309,45.2924,14.6541,27.7,52,0,10.36,HR,1675974544
310,-19.55,169.2667,78.91,94,100,6.91,VU,1675974544
311,-0.6,73.0833,81.14,72,100,7.56,MV,1675974544
312,-1.7,-77.9333,75.31,76,51,4.74,EC,1675974545
313,-4.3167,20.5833,74.52,63,5,1.3,CD,1675974545
314,-34.4333,150.8833,64.08,92,3,3.83,AU,1675974529
315,-27.2307,153.0973,73.15,56,20,10.36,AU,1675974546
316,29.7022,107.3919,49.41,88,100,3.29,CN,1675974547
317,39.8121,-121.5783,56.16,53,4,1.74,US,1675974548
318,-3.8004,102.2655,74.43,93,84,4.88,ID,1675973999
319,-2.5364,-57.76,81.61,78,88,1.19,BR,1675974548
320,21.3156,-158.0072,77.85,65,75,19.57,US,1675974411
321,9.285,105.7244,75.85,83,39,12.5,VN,1675974273
322,-17.7031,-40.7664,85.03,54,100,4.52,BR,1675974549
323,25.5198,90.2201,59.16,62,0,2.89,IN,1675974422
324,-12.7406,-60.1458,78.35,86,98,1.12,BR,1675974391
325,-19.8,-174.35,82.51,74,75,5.75,TO,1675974610
326,16.8634,-99.8901,86.86,45,37,9.6,MX,1675974231
327,29.6994,-91.2068,68.0,45,0,8.05,US,1675974610
328,51.0333,-4.2167,38.39,84,63,3.0,GB,1675974611
329,53.5102,142.9671,-23.98,98,21,9.98,RU,1675974614
330,37.7167,-25.4333,55.81,74,55,9.28,PT,1675974257
331,61.4732,-6.8119,38.53,54,100,14.45,FO,1675974614
332,-21.3667,55.6167,77.38,81,54,13.09,RE,1675974615
333,-43.5333,172.6333,60.33,84,75,8.05,NZ,1675974615
334,69.2167,-51.1,1.42,85,75,10.36,GL,1675974082
335,9.8167,80.2333,76.59,74,32,9.71,LK,1675974616
336,56.1725,107.4458,-0.31,99,100,3.36,RU,1675974616
337,-23.1333,150.7333,71.38,76,73,12.33,AU,1675974617
338,60.3964,-1.353,38.26,52,100,22.19,GB,1675974500
339,-37.6167,-73.65,65.62,77,3,11.05,CL,1675974617
340,-0.3582,42.5454,77.02,85,1,15.7,SO,1675974618
341,-34.7333,135.8667,63.97,81,77,16.24,AU,1675974613
342,0.8,127.4,79.72,82,97,11.39,ID,1675974618
343,54.7682,-101.865,13.84,44,0,4.61,CA,1675974619
344,60.05,69.9,-0.08,100,70,3.33,RU,1675974619
345,-12.8883,-38.6786,85.93,71,1,10.92,BR,1675974620
346,66.2833,14.0667,31.8,90,75,2.3,NO,1675974620
347,-28.8667,153.5667,66.78,99,33,5.3,AU,1675974412
348,26.1842,127.7558,69.85,83,75,18.41,JP,1675974621
349,63.2842,118.3319,-47.99,100,93,3.78,RU,1675974621
350,29.2747,82.1838,36.54,60,26,2.51,NP,1675974491
351,59.55,31.0167,25.47,87,99,11.81,RU,1675974622
352,-6.2167,155.6333,80.51,83,100,3.33,PG,1675974622
353,37.2993,-3.1392,44.11,62,68,8.28,ES,1675974623
354,4.4148,114.0089,77.14,94,20,4.61,MY,1675974623
355,6.4635,-2.3194,78.31,79,94,3.96,GH,1675974624
356,65.5333,72.5167,3.02,92,100,10.63,RU,1675974624
357,-16.4833,-151.75,81.25,72,5,13.67,PF,1675974171
358,-11.0267,-68.7692,86.18,74,40,9.22,BO,1675974625
359,16.7833,94.7333,68.25,75,100,7.47,MM,1675974625
360,0.5738,12.8642,75.94,72,100,2.64,GA,1675974626
361,40.1578,-83.0752,73.4,42,75,29.93,US,1675974579
362,14.9215,-23.5087,70.34,73,75,13.8,CV,1675974097
363,64.8569,-147.8028,0.9,78,40,0.0,US,1675974618
364,65.8522,44.24,31.98,89,100,14.92,RU,1675974626
365,62.7833,7.4833,32.97,69,75,26.46,NO,1675974350
366,55.2198,12.1701,37.78,90,100,19.28,DK,1675974627
367,62.5833,6.1333,34.72,86,75,33.38,NO,1675974258
368,56.1525,96.9161,-1.66,100,100,0.38,RU,1675974628
369,-32.5,137.7667,73.44,65,0,7.14,AU,1675974688
370,41.3712,-73.414,47.86,72,100,11.5,US,1675974167
371,-31.95,141.4333,78.08,20,0,12.95,AU,1675974689
372,7.9986,124.2928,65.64,95,82,1.61,PH,1675974690
373,-38.5473,-58.7368,81.12,40,0,14.18,AR,1675974391
374,27.6652,54.1371,48.34,53,100,8.23,IR,1675974691
375,37.7966,12.4352,46.94,87,40,3.44,IT,1675974692
376,61.2767,108.0108,-10.16,99,100,2.73,RU,1675974692
377,34.2257,-77.9447,73.9,66,100,18.41,US,1675974453
378,-12.5763,13.4055,75.42,79,39,6.91,AO,1675974693
379,-16.2781,-39.0247,82.63,65,20,12.66,BR,1675974693
380,45.6643,4.9499,38.95,75,0,3.44,FR,1675974694
381,-14.9783,27.0619,63.95,97,91,5.14,ZM,1675974694
382,48.148,11.7434,28.92,81,3,1.99,DE,1675974695
383,-14.9003,50.2788,73.56,91,35,4.54,MG,1675974695
384,36.7186,15.0907,52.86,91,100,39.37,IT,1675974696
385,-11.9472,-75.2829,62.51,55,70,5.61,PE,1675974696
386,-40.8135,-62.9967,91.94,21,0,25.03,AR,1675974697
387,32.6881,128.8419,58.46,94,100,15.52,JP,1675974424
388,-31.4241,-64.4978,93.4,39,0,11.01,AR,1675974697
389,36.8529,-75.978,73.45,49,75,17.27,US,1675974421
390,60.1432,-45.2371,28.0,97,100,11.81,GL,1675974698
391,48.6499,-53.1147,20.66,70,100,23.09,CA,1675974256
392,39.8494,70.5838,30.54,91,100,0.34,TJ,1675974699
393,-46.2817,169.8464,55.45,58,83,4.68,NZ,1675974699
394,-15.1961,12.1522,70.56,77,53,9.78,AO,1675974699
395,5.8402,118.1179,80.28,83,40,4.61,MY,1675974700
396,-1.5746,9.2618,79.09,87,100,5.84,GA,1675974700
